argument_n,position,D54_token,4941_token,operation
3,1,tercio,tercio,match
3,2,sacrum,sacrum,match
3,3,concilium,concilium,match
3,4,solet,solet,match
3,5,terminare,terminare,match
3,6,omnes,omnes,match
3,7,causas,causas,match
3,8,et,et,match
3,9,difficultates,difficultates,match
3,10,que,-,omission_in_4941
3,11,in,-,omission_in_4941
3,12,ecclesia,-,omission_in_4941
3,13,dei,-,omission_in_4941
3,14,surgunt,-,omission_in_4941
3,15,et,-,omission_in_4941
3,16,dampnare,-,omission_in_4941
3,17,omnes,-,omission_in_4941
3,18,hereses,-,omission_in_4941
3,19,que,que,match
3,20,surgunt,surgunt,match
3,21,in,in,match
3,22,ecclesia,ecclesia,match
3,23,dei,dei,match
